Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,3,Neuquén,29352.0,75815.0,29396.0,27482.0,1116.0,162693,468.0,80.37,23.92
2022,3,Río Negro,35552.0,48260.0,41017.0,16760.0,18969.0,160010,548.0,67.98,20.91
2022,3,Salta,40006.0,96984.0,50254.0,10082.0,7215.0,204536,5.0,57.76,13.99
2022,3,San Juan,38570.0,22723.0,12328.0,21860.0,7918.0,103118,281.0,50.8,12.94
2022,3,San Luis,6860.0,29363.0,248.0,70614.0,14985.0,121888,182.0,81.74,23.39
2022,3,Santa Cruz,10170.0,24047.0,10815.0,3896.0,582.0,49312,198.0,43.19,12.85
2022,3,Santa Fe,183740.0,426255.0,215189.0,43079.0,19547.0,887700,110.0,78.55,24.7
2022,3,Santiago Del Estero,15385.0,80937.0,13170.0,6618.0,2922.0,119030,2.0,47.98,11.91
2022,3,Tierra Del Fuego,12754.0,39963.0,403.0,125.0,651.0,53584,312.0,99.51,29.5
2022,3,Tucumán,77738.0,18518.0,162345.0,3997.0,519.0,263087,30.0,61.14,15.14
2022,2,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,71028.0,4660984,6199.0,77.58,26.129
2022,2,Capital Federal,145491.0,1232226.0,121506.0,5757.0,31791.0,1534626,2145.0,121.31,49.874
2022,2,Catamarca,11928.0,9430.0,42087.0,1329.0,2234.0,67007,1.0,62.4,15.872
2022,2,Chaco,29552.0,61284.0,42194.0,8178.0,2356.0,143559,5.0,43.79,11.703
2022,2,Chubut,45377.0,69242.0,9574.0,29784.0,8828.0,161901,904.0,83.19,25.5
2022,2,Córdoba,179181.0,467595.0,308895.0,61107.0,9657.0,1026367,68.0,87.48,26.782
2022,2,Corrientes,38468.0,75769.0,18181.0,7256.0,5323.0,144993,4.0,48.35,12.732
2022,2,Entre Ríos,63794.0,131029.0,35839.0,26098.0,12592.0,269330,22.0,63.9,19.105
2022,2,Formosa,15397.0,25487.0,9875.0,16910.0,212.0,67881,0.0,43.42,11.05
2022,2,Jujuy,20303.0,54495.0,34184.0,3955.0,2377.0,115314,0.0,57.32,14.657
2022,2,La Pampa,7796.0,59273.0,22994.0,20200.0,1264.0,111356,171.0,92.98,30.633
2022,2,La Rioja,7759.0,52656.0,19189.0,6395.0,31.0,86026,4.0,80.14,21.331
2022,2,Mendoza,37663.0,77504.0,135504.0,26964.0,1927.0,278785,777.0,49.39,13.782
2022,2,Misiones,37208.0,89260.0,33649.0,11074.0,7622.0,178813,0.0,51.0,13.89
2022,2,Neuquén,29749.0,74905.0,28824.0,27371.0,1119.0,161500,468.0,80.02,23.817
2022,2,Río Negro,36050.0,47040.0,40946.0,16760.0,18968.0,159216,548.0,67.85,20.868
2022,2,Salta,42665.0,96178.0,47076.0,10068.0,7190.0,203172,5.0,57.54,13.936
2022,2,San Juan,38570.0,19734.0,12328.0,21859.0,7916.0,100126,281.0,49.46,12.598
2022,2,San Luis,6860.0,29034.0,248.0,70614.0,14985.0,121559,182.0,81.76,23.397
2022,2,Santa Cruz,10170.0,23725.0,10815.0,3896.0,579.0,48987,198.0,43.15,12.84
2022,2,Santa Fe,198492.0,428233.0,189503.0,43081.0,19550.0,878749,110.0,77.9,24.496
2022,2,Santiago Del Estero,16561.0,80338.0,11605.0,6618.0,2922.0,118042,2.0,47.7,11.837
2022,2,Tierra Del Fuego,12754.0,39837.0,403.0,125.0,651.0,53458,312.0,99.86,29.605
2022,2,Tucumán,85893.0,15327.0,148823.0,3997.0,487.0,254497,30.0,59.31,14.691
2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4549131,6293.0,76.078,25.563
2022,1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1415378,2163.0,111.798,46.014
2022,1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62377,1.0,58.206,14.806
2022,1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144114,5.0,44.059,11.775
2022,1,Chubut,44133.0,66667.0,9184.0,30592.0,21052.0,170701,927.0,88.053,26.989
2022,1,Córdoba,195610.0,501799.0,235838.0,60843.0,9713.0,1003729,74.0,85.757,26.255
2022,1,Corrientes,40462.0,79093.0,10875.0,6774.0,5374.0,142574,4.0,47.645,12.545
2022,1,Entre Ríos,67159.0,138986.0,23091.0,26098.0,12592.0,267904,22.0,63.701,19.045
2022,1,Formosa,16397.0,15927.0,5146.0,16876.0,202.0,54548,0.0,34.956,8.896
2022,1,Jujuy,21307.0,60616.0,25949.0,4662.0,3975.0,116509,0.0,58.065,14.848
